number,question,answer,explanation
1,競技場が高台になっている場合は、更に 1m、合計 3m を四方に確保する必要がある。,○,規定1.5：競技域を高くする場合は、四方に更に1メートル、合計3メートルが必要である。
2,宗教的なヘッドウェアを任意に着用することができる。,×,宗教的ヘッドウェアは大会・連盟の承認が必要で、任意着用とはならない。
3,空手着の上着は、太腿の 4 分の 3 以上の長さであること。,×,「太腿の4分の3以上」という表現は規定にない（通常は膝上等の定め）。
4,空手着のズボンは、少なくとも脛の 3 分の 2 以上の長さでなければならない。,○,規定2.2.1 l)：ズボンは、少なくとも脛の３分の２を覆う長さで、踝（くるぶし）より下に達してはならない。ズボンの裾を捲り上げてはならない。
5,空手着の袖は、手首の長さ以上あってはならない。,○,袖は手首を越えないなどの制限がある旨の規定（過度な長さは禁止）。
6,空手着の袖が長すぎて、時間内に適切な代替品が見つからない場合、主審は袖を内側に捲ることを許可することができる。,×,主審が袖を単に内側に捲ることを許可するという特例は規定されていない（適合しない場合は交換等）。
7,競技者は、髪に 1～2 個の目立たないゴムバンド又はポニーテールリテーナー（留め具）を使用することができる。リボン、ビーズ、その他の装飾は禁止される。,○,目立たないゴムバンド等は許可、リボン・ビーズ等の装飾は不可が一般的規定。
8,イヤリングは、テープで覆われていれば許可される。,×,イヤリング等金属アクセサリは安全上原則禁止（テープで覆っても許可されないケースあり）。
9,金属製の歯（歯科）矯正器具は、主審及びオフィシャルドクターの承認があれば、競技者の自己責任において着用することができる。,○,金属製矯正器具（歯）の扱いは主審・大会ドクターの承認により自己責任で可となる旨の例外規定がある。
10,競技者は、試合開始時及び終了時に、互いに正しく礼をしなければならない。,○,試合開始前と終了時の礼は武道の基本であり、規定で義務付けられている。
11,コーチは、団体戦の試合中に出場競技者の順番を変更することができる。,×,規定3.7.5：対戦する選手は、ラウンド毎にチーム全体から選ぶことができる。試合前であれば戦う順番は各ラウンドで変更することができる。但し、一度提出した順番は、そのラウンドが終了するまで変更することはできない。
12,個人戦で出場者が負傷した場合、コーチは組織委員会に先に連絡すれば、代わりの選手を出場させることができる。,×,個人戦での欠場・負傷者は厳しく制限される。コーチの単独連絡で代替出場できるという単純な規定はない。
13,各ジャッジは、赤と青の旗、又は電子信号装置を装備しなければならない。,○,各ジャッジは赤・青のフラッグまたは電子信号装置を備える必要がある（判定方式に準じる）。
14,両チームの勝利数及び勝ち点が同じ場合は、決定戦を行う。,○,両チームの勝ち数と勝ち点が同じなら決定戦等の規定がある（大会方式により判定ルール適用）。
15,監査は、安全域のすぐ外側に着席し、笛のみを装備する。,×,規定1.9：監査は主審の左、又は右後方の安全域外に座り、笛を所持する。→「笛のみ」とは書かれていない。
16,棄権は、競技者がそのカテゴリーから違反となることを意味する。,×,規定6.2：棄権は、競技者がその種目から退場となることを意味する。但し、他の種目への参加には影響しない。
17,4cm 以上のヒールは、ユニフォームと一緒に着用することはできない。,○,4cm以上のヒール等は競技用ユニフォームとしては許可されない（安全基準）。
18,シニア男子の試合時間は 3 分、女子、カデット及びジュニアの試合時間は 2 分である。,×,試合時間はカテゴリーごとに細かい定めがあるが、一般的にシニア男子は3分、女子や年齢別は規定で異なるケースがあるため単純化は危険（JKF規定で確認要）。
19,団体組手のメンバーは、空手着の種類を問わず着用することができる。,×,団体組手のメンバーは同一の空手着規定に従う必要がある（統一性が求められる）。
20,チームメンバーは、異なるタイプのストライプを使用することができる。,×,規定2.2.1：競技者は、全空連が特に許可また大会要項で指定されたものを除き、ストライプ、縁取り、個人刺繍のない白い空手着を着用しなければならない。
21,試合中に紐が取れてしまった場合も、上着を替える必要はない。,×,規定2.2.1 i)：紐のない上着は使用できない。上着を固定する紐は、試合開始時に結ばなければならない。
22,競技者は、如何なる白の空手着を着用することができる。,×,「如何なる白の空手着も着用できる」わけではない。JKFが認定した仕様（刺繍・ライン等不可）に準じる必要がある。
23,中段蹴りと突きの速いコンビネーションは、それぞれ得点となり１本が与えられる。,×,中段蹴りと突きの素早いコンビネーションが個別に点数化されるかは原則として同連続技の取り扱いで変わる。単純に「それぞれ1本が与えられるとは限らない」（採点基準あり）。
24,シニアの試合において、喉への軽い「グローブタッチ」は、負傷がない限り、ウォーニング又はペナルティは科せられない。,×,規定10.4.6：喉への接触：喉への接触は、受け手の過失によるものでない限り、ウォーニング、又はペナルティとなる。
25,股間への蹴りは、故意でなければペナルティは科せられない。,×,規定10.4.2：負傷の原因となる接触：負傷の原因となる技は、負傷した競技者の原因によるものでない限り、ウォーニング、又はペナルティとなる。全ての技は、コントロールされた良いフォームでなければならない。さもなければ、故意であるか否かに関係なく、ウォーニング、又はペナルティが科せられる。
26,2023 年より、14 歳以下の競技者は、WKF 公認の保護ヘルメットの着用が認められ、2024 年 1 月 1 日以降は義務付けられる。,○,2023年以降、低年齢選手へのヘルメット着用に関する改訂があり、14歳以下に保護ヘルメットの着用が認められ、一定時期以降義務化される旨の運用が発表されている（JKF/WKFの導入スケジュール参照）。
27,試合残り時間 15 秒を切った時点で先取が取り消された後、競技者双方に先取を与えることはできない。,○,残り15秒を切った時点で先取が取り消された場合、その後双方に新たに先取を与えることはできない、という扱いが規定にある。
28,先取を与えられた競技者が、残り時間 15 秒を切った時点で、戦いを回避したとしてカテゴリー2 のウォーニングを科せられた場合、その競技者は自動的に利点を失う。,○,先取（センシュ）を持つ競技者が残り15秒未満に「戦い回避」等のカテゴリー2ウォーニングを受けた場合、利点（先取）を失う規定がある。
29,任意の宗教的なヘッドウェアは、JKF の承認が必要である。,○,宗教的ヘッドウェアの着用はJKF承認が必要（任意着用とは別）。
30,大会実行委員長又は大会実行委員会は、コーチがトラックスーツの上着の代わりに、Tシャツの着用を許可することができる。,○,大会実行委員長または実行委員会は、ドレスコードの一部例外（Tシャツ等）を許可する裁量がある。大会要項に明示される。
31,反則注意は、相手の反則により、競技者の勝利の可能性が著しく低下した場合に与えられる。,○,「反則注意」は、相手反則により勝利の可能性が著しく低下した場合等、競技規定に沿って与えられる場合がある（状況次第）。
32,Exchange とは、試合中時計が動いている時間をいう。（Exchange とは試合が中断され、時計が止められるまでの時間をいう。）,○,規定3.1.2：「Exchange」とは、試合中時計が動いている時間をいう。
33,体重の許容範囲は、男女とも 0.5kg である。,×,規定3.2.2 d)：許容範囲。男子の許容範囲は０．２Ｋｇ、女子の許容範囲は０．５Ｋｇ。各種目の上限と下限も同様とする。
34,反則は重大な規定違反に対し、科せられる。,○,反則は重大な規定違反に対して科される（軽微な違反は注意等）。
35,失格は、ウォーニングが科せられた後でなければ科せられない。,×,失格は必ずしもウォーニングの後でなければ科せられないわけではない（重大な反則では即失格がある）。
36,悪意がある行為に対する正しいペナルティは、反則ではなく失格である。,○,悪意ある行為（明白な故意の危険行為）に対する正しいペナルティとして失格が科され得る（重大なケース）。
37,悪意ある行為に対する正しいペナルティは、反則である。,×,（36と矛盾）悪意ある行為に対し常に反則のみ、というのは誤り。重大な場合は失格が相当。
38,コーチ又は競技者以外の者の行為が、空手道の威信と名誉を損なうと判断された場合、競技者に失格を科すことができる。,○,コーチや第三者の行為が大会の威信を損なうと判断されれば競技者に処分（失格等）を科すことができる旨の規定がある。
39,体重クラスの上限、下限の許容範囲は同じとする。,○,体重クラスの上限・下限の許容範囲は同一（上限超過等の取り扱いが統一されるのが通常）。
40,個人戦は、総当たり戦、準々決勝、準決勝、決勝が適用される。,×,「個人戦は、総当たり戦、準々決勝、準決勝、決勝が適用される」と断定するのは誤り。大会方式は参加数や大会種別により異なる。
41,得点の決定には、5 つの基準がある。,×,規定8.5：コントロールされた技を得点するためには、以下の基準を満たす必要がある。１）良いフォーム、２）スポーツマンらしい態度、３）気力、４）残身、５）良いタイミング、６）正確な距離
42,男子団体戦では、初回ラウンドに最低 5 名の競技者が必要。,○a,規定3.6.1：男子チームは、５名から７名のメンバーで構成され、１ラウンドに５名の競技者が出場する。男子チームは、最初のラウンドには５名が出場しなければならない。次のラウンドからは最低３名の競技者で出場することができる。
43,男子団体戦は、メンバー5 名から 7 名で構成され、1 ラウンドは 5 名で競う。,○,男子団体は通常メンバー5〜7名、1ラウンドは5名で競うという規定が一般的。
44,女子団体戦では、初回ラウンドに最低 2 名の競技者が必要。,×,女子団体で初回ラウンドに最低2名必要というのはない（通常は男子と同様の規定）。
45,総当たり戦では、各カテゴリー最大 32 名の競技者を 4 名ずつ 8 グループに分ける。,○,規定3.8.1：プレミアリーグでは、３２名の参加者は４名ずつ８グループに分けられる。８グループの各１位の選手は、準々決勝、準決勝、決勝に進む。準々決勝及び準決勝で決勝進出者に負けた選手は、銅メダルをかけて競う。
46,最初のウォーニングの後、コーチが妨害し続けた場合、主審は試合を中止し、再度コーチに近づきタタミから退場するよう告げる。,○,最初のウォーニング後にコーチが妨害を続ける場合、主審は中止して退場を命じる等の措置を取ることができる。
47,青が競技場外に出た瞬間に赤が得点した場合、得点とウォーニング又はペナルティの両方を与えることができる。,○,場外判定の瞬間関係で、ある瞬間に得点と同時に場外の事象が生じた場合、得点とウォーニングの両方を与えることができる扱いが規定にある（事象のタイミングに依る）。
48,もし、競技者がエリアから物理的に押し出された場合は、場外が科せられる。,×,物理的に押し出された場合は「相手の行為」による場外扱いとなり、単純に場外を科す／科さないは文言のままでは誤り。
49,プレミアリーグの大会では、準々決勝と準決勝でファイナリストに負けた競技者が銅メダルを競う。,○,規定3.8.1：プレミアリーグでは、３２名の参加者は４名ずつ８グループに分けられる。８グループの各１位の選手は、準々決勝、準決勝、決勝に進む。準々決勝及び準決勝で決勝進出者に負けた選手は、銅メダルをかけて競う。
50,グループ内の 2 名以上の競技者が同ポイントで引き分けとなった場合、大会開催日における世界ランキングのトップを考慮すべき第一基準とする。,×,グループ内で同点の場合、世界ランキングトップを第一基準とするかは大会規約で規定されるが、常に第一基準とは限らない（大会要項で指定）。
51,反則により違反となった競技者が、競技を続行することは可能である。,○,反則の程度により注意／ペナルティ／失格など処分が分かれるため、軽微な反則であれば競技続行が可能。
52,主審が止めを宣告する前に、得点し場外となった選手には、場外を与えない。,×,特典と場外の判定はタイミングに依存する。主審の停止前であっても場外や得点の両方を考慮する必要があり、単純に「与えない」は誤り。
53,試合終了のベルの後は、競技者にペナルティを科すことはできない。,×,有効技のタイミングや事後の不正行為等、終了直後でもルールに基づき処分の対象となり得る（状況による）。
54,ジュニア大会において、顔面、頭部又は頸部への技で負傷させた場合、負傷した競技者の過失でない限り、注意が与えられるか、又はペナルティが科せられる。,○,年代別（ジュニア等）では安全重視の運用が強く、負傷を伴えば相手に注意またはペナルティが科される運用が明示されている。
55,カデット及びジュニア大会では、上段蹴りの最も軽微な接触（スキンタッチ）は、負傷がない限り許される。,○,ルールで「スキンタッチ（skin touch）」の定義が設けられ、軽微接触（エネルギー移転なし）は年齢区分によって許容される旨の運用が示されている（JKF/WKF改訂参照）。
56,シニア大会では、上段突きの軽微な接触、及び上段蹴りにはより大きな接触が許される。,×,規定8.8：上段への技は、蹴り技では得点部位から５ｃｍ以内、手技では２ｃｍ以内に止めれば得点となる。衝撃は与えない、軽い接触（スキンタッチ）は許される。但し、喉への攻撃は禁止される。
57,予選を通過した競技者が、総当たり戦予選ラウンド終了時に不正行為により失格となることはない。,×,不正行為が判明した場合は通過後でも失格・記録抹消等の処分があり得る（不正に対する処置は規定）。
58,本ルールに記載されていない競技形式を適用する場合は、大会要項で明確に通知しなければならない。,○,大会方式は大会要項で明示されるべきであり、ルール外の形式適用は事前通知が必要。
59,コーチの悪い行為により、競技者が失格となることはなく、退場を命じられることもない。,×,コーチの行為が大会の秩序や競技者の安全に影響を及ぼす場合、競技者側への処分（失格等）やコーチの退場などの措置がなされ得る。
60,ジャッジはスコアを確認したら、直ちにジョイスティックで合図する。,○,電子採点・ジョイスティック方式が採用されている場合、ジャッジは合図機器で得点表示を行う運用が規定される。
61,審判団は、タタミ・マネージャー1 名、タタミ・マネージャー・アシスタント 3 名で構成される。,×,タタミ・マネージャーとアシスタント人数は大会規模や運用により異なるため、この固定表現は誤り（JKF内部の具体例は別途規定）。
62,各試合の審判団は、主審 1 名、ジャッジ 4 名、マッチスーパーバイザー1 名で構成される。,○,一般に主審1名、副審（ジャッジ）複数（例：4名）とマッチスーパーバイザーで構成されるのがJKF標準運用。
63,試合開始後、マウスピースを装着していないことが判明した場合、その競技者は違反となる。,○,マウスピース（ガムシールド）は必須装備であり、未着用は反則や試合続行不可の対象となる。
64,主審は、全ての指示とアナウンスを行う。,○,主審が試合の進行指示、合図、警告等の主要なアナウンスを行う責任を持つ。
65,組手の試合時間は、14 歳以下は 1.5 分である。,○,年代別の試合時間は短縮され、14歳以下（カデット等）の試合時間が1.5分と規定される運用が一般的（JKF資料に準拠）。
66,ジャッジ 3 名が赤に得点を合図した場合、主審はそれが間違いであると判断しても試合を中止しなければならない。,○,規定15.5.4 11)：以下の場合、監査は笛を吹いて合図する。２名以上の副審が得点を表示したにもかかわらず、主審が試合を止めない場合
67,２名以上のジャッジが同じ競技者に得点を合図した場合、主審は試合を止めなければならない。,○,規定15.5.4 11)：以下の場合、監査は笛を吹いて合図する。２名以上の副審が得点を表示したにもかかわらず、主審が試合を止めない場合
68,試合の計測は、主審が開始の合図をした時に始まり、主審が止めを宣言した時又はタイムアップとなった時に終了となる。,×,規定4.1.1：審判団は、主審１名、副審４名、監査１名、記録主任１名、ビデオレビューがある場合はビデオレビュースーパーバイザー１名から構成される。
69,組手試合の審判団は、主審 1 名、ジャッジ 4 名、マッチスーパーバイザー1 名、スコアキーパー1 名で構成される。,○,主審・副審群・監査・記録担当等で審判団を構成するのが通常。
70,競技者が滑って胴体がタタミに接触していない状態で転倒し、直ちに得点された場合は、相手に１本が与えられる。,×,滑り等による転倒は状況判断（攻撃の有効性・相手の責任）で変わるため「直ちに1本」は一律ではない。
71,競技者のコーチ又はその公式代表者のみ、抗議することができる。,○,抗議は通常、コーチまたは正式な代表者が行う手続きに限定される。
72,主審が時間終了合図を聞き逃した場合、マッチスーパーバイザーが笛を吹く。,○,主審が合図を誤ったり聞き逃した場合、監査（マッチスーパーバイザー）が介入して試合管理を補助する規定がある。
73,試合開始時のみ、競技者はお互いに正しく礼をしなければならない。,×,礼は試合開始時および試合終了時の双方で行う必要があるため「開始時のみ」は誤り。
74,個人戦において、自ら試合を辞退した競技者は棄権となり、対戦相手に追加 8 ポイントが与えられる。,×,規定3.5.1：招集されても現れない個人競技者又はチームは、その種目から退場となる（棄権）。団体戦の場合、行われなかった試合のスコアは８－０で相手チームに有利となる。棄権による退場は、その種目からの撤退を意味するが、他の種目への参加には影響しない→個人戦に関する規定はなし
75,残心とは、技が決まった後にも継続して取り組む状態をいう。,○,残心は技の後の礼や気を抜かない姿勢を指す武道用語で、審判運用でも用語説明がある。
76,主催者が整列前に用具のチェックを行った場合でも、用具が規定に準じていることを確認するのは監査の責任である。,○,監査（マッチスーパーバイザー）は用具確認等の最終責任を負う役割を持つ旨が示されている。
77,競技場内の競技者が、場外の競技者に対して得点することができる。,×,場外にいる選手に対して得点を与えることは通常ない（場外の取り扱いは明確）。
78,後しばらくは、「残り試合時間 15 秒」を意味する。,○,「後しばらく」は主審が残り時間のおおよその警告で用いる合図（15秒を指す運用が一般的）。
79,後しばらくは、「残り時間 10 秒」を意味する。,×,「後しばらく」は15秒を意味するのが通例であり、10秒を意味するというのは誤り。
80,喉への「スキンタッチ」は、シニア競技に限り認められる。,×,喉は極めて危険な部位であり、スキンタッチであっても取り扱いは厳格。年齢限定で単純に認める規定はない。
81,団体戦の試合終了時に無得点の場合、主審は判定を要求する。,×,規定12.2.3：個人戦に引き分けはない。団体戦、総当たり戦の場合、同点又は無得点で終了し、双方に先取がない場合、主審は引き分けを宣告する。
82,防御に何度も失敗した後の過度の接触は、無防備の対象となる。,○,無防備（vulnerable）と判断される状況、繰り返し防御失敗等で過度接触の対象となる旨の運用がある。
83,負傷がある場合でも、誇張のため罰せられることがある。,○,誇張（exaggeration）は詐術的行為として注意・反則対象となる運用が示されている。
84,主審は、勝者を「青（赤）の勝ち」と宣言し、必要であれば、判定により引き分けを解消する。,○,主審は勝者宣言と判定の手続きに関与する。
85,試合終了時に同点の場合、審判団（主審及び副審４名）は判定により決定する。,○,同点時の判定は審判団で行うのが運用。副審の数は大会方式によるが判定は審判団の責任。
86,審判団が競技規定に反した判定をした場合、マッチスーパーバイザー（監査）は直ちに笛を吹く。,○,監査は不適切な運用・重大な誤審時に介入する役割を持つことが明示されている。
87,技が対戦相手のポイントになった場合でも、連続技による息切れや衝撃への反応に対し、罰則を科してはならない。,×,反応の誇張や不必要な振る舞いがあれば罰則対象となるため、一律に「科してはならない」は誤り。
88,団体戦における代表戦はない。,×,代表数の有無は大会規定により決定される。代表数が採用される場合もあるため一律否定は誤り。
89,連続技のうち、最初に正しく行われた技のみが得点となる。,○,連続技の得点は「最も評価に値する技」が採用される原則が示されている（高得点基準適用）。
90,無許可の用具や規定違反の空手着で競技場に現れた競技者は、服装を正す時間として１分間が与えられ、コーチは自動的にその試合のコーチ資格を失う。,×,「1分間」は一例の運用だが、コーチ資格消失を自動付与する文言は過度であり、実際の裁量や手続きが規定される（自動失効は誤）。
91,衝撃の結果、競技者の息が切れた場合は、試合を再開する前に息を整える時間を与えられるべきである。,○,強い衝撃で息切れが起きた場合、主審は再開前に回復の時間を与えることができる（安全上の配慮）。
92,上段とは、肩と鎖骨の上の部分を指す。,×,上段は「肩・頭・頸部・顔」を含む範囲。肩と鎖骨の上だけに限定するのは誤り。
93,１本は上段蹴り又は足の裏以外の部分がタタミに触れている相手に対する技に対して与えられる。,○,1本は上段蹴り、または床に足以外の体がついている相手への有効な技に与えられる。
94,反則注意は、負傷を装った場合に科せられる。,×,「反則注意」は負傷誇張でなく、軽微なルール違反に対して科される。誇張は別項目（反則）。
95,反則は、１回目の負傷の誇張に科せられる。,×,負傷誘発は1回目でも反則注意ではなく、直接反則（Category 2）に該当する。
96,中段技を受け、息を切らすのは、技のコントロールの欠如を示す。,○,中段技で息切れを起こすのは、攻撃側のコントロール不足を示す（過度接触扱い）。
97,負傷を誇張した競技者には、直接反則を科すことができる。,○,負傷を誇張した競技者は、直接反則が科せられる（Category 2：Exaggeration）。
98,試合中止・中断が宣告された後の技は、有効であっても得点とはならず、違反者に罰則が科せられる場合がある。,○,「止め」宣告後の技は得点とならず、違反行為として罰則を科されることがある。
99,カデット組手では、負傷がない限り上段蹴りのスキンタッチが許される。,×,規定8.9：１４歳から１５歳（カデット）並びに１４歳未満の競技者の場合、上段への蹴り技は攻撃部位から１０ｃｍ以内、手技は５ｃｍ以内で止めれば得点となる。→スキンタッチは許される、の記載はなし。
100,試合開始前に、タタミマネージャーは、競技者のメディカルカードをチェックする。,○,タタミマネージャーが試合前にメディカルカードをチェックする。
101,組合せ表の記載に誤りがあり、間違った競技者が出場した場合、後から変更することはできない。,×,組合せ誤りによる出場ミスは修正可能（試合進行により制限あり）。
102,試合終了のブザーと同時に出された有効技は有効である。,○,ブザーと同時の技は有効（同時発生は得点対象）。
103,競技者が負傷し、それが自己の責任によるもの（無防備）と判断された場合、主審は相手にウォーニング又はペナルティを与えない。,○,無防備（自己責任）による負傷では相手にウォーニング等を与えない。
104,監査は、スコアが有効かどうかなど判定に関する投票権や権限を有しない。,○,監査（マッチスーパーバイザー）は投票権を持たず、判定に干渉しない。
105,背中への突きに対しては、常に有効が与えられる。,×,背中への突きは得点にならない（有効部位外）。
106,16 歳以上の競技者のカテゴリーでは、「スキンタッチ」が許される。,○,16歳以上ではスキンタッチ（軽接触）が許容される。
107,主審の指示に従わない競技者には、失格が科せられる。,○,主審指示への不服従は失格対象。
108,スコアスーパーバイザー（記録主任）は、競技規定に反する行為があった場合、主審に試合の中止を求める。,×,スーパーバイザーは審判行為を中止させる権限を持たない。
109,連続技において、1 つ目の技が有効、２つ目の技が罰則に値する場合は、両方を与えるものとする。,×,連続技で一方が有効・一方が反則の場合、反則優先。両方を与えるのは誤。
110,スキンタッチとは、頭や体に衝撃を伝えることなく攻撃部位に触れることである。,○,スキンタッチとは衝撃を与えず接触のみする技のこと。
111,床に横たわった状態で得点することは不可能である。,×,床に横たわった状態でも正しい攻撃なら得点となる場合がある（倒れながらの蹴りなど）。
112,JKF が認定した用具を着用していない競技者には、認定品に交換する時間として 2 分間が与えられる。,○,規定2.2.15：認定されていない安全具や規定に従わない空手着の競技者が競技場に現れた場合、服装を正すために２分間の時間が与えられる。この場合コーチは、自動的にその試合につく権利を失うことになる。
113,組手で負傷し、10 秒ルールで棄権した競技者は、形競技に出場することはできない。,○,組手で10秒ルールによる棄権者は形競技に出場できない。
114,大会ドクターが続行不可能と判断した負傷者は、その競技に再出場することはできない。,○,ドクターが続行不可能と判断した場合、その競技への再出場は不可。
115,競技者が試合終了後、競技場内で悪質な行為をした場合、主審は失格を与えることができる。,○,試合終了後の悪質行為でも失格が科される。
116,失格を科す場合、マッチスーパーバイザー（監査）は、投票権を有する。,×,監査（マッチスーパーバイザー）は失格判定時に投票権を持たない。
117,男子団体戦において、1 チームが 3 試合に勝利した場合、その時点で試合は終了となる。,○,男子団体は3勝で勝利確定。
118,女子団体戦で、2 試合に勝利した場合、その時点で試合終了となる。,○,女子団体は2勝で勝利確定。
119,相手を掴み、即座に技を出さなかった場合、又は投げなかった場合、主審は「止め」を宣告する。,○,掴み後に即技がなければ「止め」宣告。
120,副審が、技が実際に攻撃部位に達したかどうか確信が持てない場合、得点の合図をすることができる。,×,確信がない場合に得点合図はできない。
121,空手道の威信と名誉を傷つける行為をした競技者には、反則が科せられる。,○,威信を傷つける行為は反則。
122,競技者の行為が危険と判断され、故意に禁止行為に関する規則に違反した場合は、失格が科せられる。,○,危険な故意行為は失格対象。
123,試合終了の合図後に出された正確な技は、有効である。,×,終了合図後の技は無効。
124,「分かれて」以降の正確な技は有効である。,×,「分かれて」以降の技も無効。
125,副審が実際の技の極めを見ることができなくても、ポイントを合図することができる。,○,規定8.13：副審は得点技を見ることができなくても、技が正確に出され、明らかに得点部位に技が達していることが確認できれば、得点を示すことができる。
126,判定において、副審３名が赤の勝利を合図し、副審１名が青の勝利を合図した場合、主審は赤の勝ちとしなければならない。,○,副審3名赤、1名青なら多数決で赤勝ち。
127,ポイントや先取でリードしている競技者に不活動を与えることはできない。,○,規定10.4.15：不活動とは、競技者双方が技を試みない場合、又はポイントをリードされている、あるいは相手の先取でリードされている一方の競技者が技を試みない場合をいう。・不活動は、得点又は先取でリードしている競技者には科せられない。・試合の最初の１５秒間は不活動を科してはならない。。
128,特定の競技に指定されたコーチのみが、競技場に近くに割り当てられたコーチ席から競技者を指導することができる。,○,指定コーチのみが指定席から指導可能。
129,競技者が 10 秒以内に立ち上がらない場合、主審は「棄権」を宣告し、相手の「勝ち」を告げる。,○,10秒以内に立ち上がらなければ棄権宣告。
130,競技者が投げられ、体の一部が競技場外に着地した場合、主審は、すぐに「止め」を宣告する。,○,投げて体の一部が場外着地→主審は止めを宣告。
