number,question,answer,explanation
131,競技者は、コーチに対してビデオレビューの要求を合図することはできない。,×,規定14.5：競技者がコーチにＶＲを要求してほしい場合は、試合の進行を妨げない程度に合図は控えめにしなければならない。
132,競技者の診察は、タタミの外で行う。,○,規定11.2.2：身体的に移動が可能であれば、負傷した競技者を競技場の外に誘導し、ドクターの診察と治療を受けさせる。
133,副審がジョイスティックの持ち手を間違えている場合、監査は笛を吹かなければならない。,○,副審が誤ったジョイスティック操作→監査が笛で指摘。
134,全ての組手競技者は、ガムシールド（マウスピース）の着用が義務付けられている。,○,マウスピースは全競技者に義務付け。
135,投げの後、主審は最大 2 秒間、得点の時間を与えることができる。,×,規定7.10 f)：以下の状況に直面した場合、主審は「ヤメ」を宣告し、試合を中断させる。競技者の一方又は双方が倒れたり、投げられたりした場合、どちらの競技者もすぐに技をかけられなかった場合
136,強い横蹴りで得点し、相手を場外に追い出した場合、主審は技ありを与え、相手には場外のウォーニング又はペナルティを科す。,×,規定10.4.13：競技場から出ること：場外は、競技者の足又は身体の一部が競技場外のマットに接触することを意味する。但し、競技者が相手によって押されたり投げられたりした場合、又は得点後に出た場合は例外とする。
137,公式な抗議があった場合、その結果が出るまで、その後の試合は延期されなければならない。,×,抗議提出中でも大会進行は原則継続される。
138,各副審は、タタミの四隅に着席する。,○,副審はタタミの四隅に着席。
139,主審が負傷させた技に対してポイントを与えた場合、マッチスーパーバイザー（監査）は、試合中止の合図をする。,×,主審の得点判断に対して監査が笛を吹くのは誤審や重大違反のみ。単なる得点付与では介入不可。
140,主審が試合終了ベルを聞き逃した場合、スコアキーパー（記録係）は笛を吹く。,×,時間管理はタイムキーパーの笛ではなく監査の介入。
141,掴み合いを止めるための「分かれて」は、試合のどのタイミングでも出すことができる。,○,掴み防止等で「分かれて」はいつでも宣告可能。
142,主審が失格を与える場合、副審を呼び、簡単な相談をすることができる。,○,失格時、主審は副審に簡単な相談を行うことができる。
143,試合中に負傷し治療が必要な場合、３分間が与えられる。その後、主審はその競技者を試合続行不可とするか、又は更に時間を与えるかを決定する。,○,負傷治療時間は3分を基準とする。
144,試合残り時間 15 秒未満で場外となった競技者には、少なくとも「注意」が科せられる。,×,規定10.4.16：戦いを避けるとは、効果的なカウンターを与えずに後退をし続ける、つかみ合い、組合い、又は競技場から出る等、時間を浪費する行為によって、相手に得点の機会を与えないことである。試合終了までの１５秒間（後しばらく）の戦いを避ける行為には、少なくとも反則注意を与え、先取がある場合は先取が取り消される。→少なくとも反則注意
145,間違った競技者に与えられた得点を訂正する場合、主審は間違った得点を与えられた競技者の方を向き、「取りません」の合図をした後、対戦相手に得点を与える。,○,誤得点訂正時は「取りません」を宣告して正しい相手へ得点。
146,競技者がコントロールされた中段蹴りで得点した後、誤って相手の顔面を殴り、軽傷を負わせた場合、技ありとウォーニングを与える。,○,技あり＋ウォーニングを同時に与える例。
147,負傷した競技者が治療を受け、大会ドクターが試合続行可能と判断した場合、主審はドクターの判断を覆すことはできない。,○,医師の判断は最終で、主審は覆せない。
148,主審は、副審の合図がなくても試合を中止することができる。,○,主審は副審の合図なくても試合を止められる。
149,主審が「分かれて」をコールした後、コーチはビデオ要求をすることができない。,○,規定10.1.3：主審が分かれてを発した場合、コーチはビデオを要求することはできない。
150,「戦いを避ける」とは、競技者が時間を浪費する行為によって、相手に得点の機会を与えないようにすることをいう。,○,「戦いを避ける」は得点機会を阻止する行為と定義。
151,「続けて」は、「分かれて」が先行しない限り、試合残り時間が 15 秒未満の場合は使用されない。,○,「続けて」は「分かれて」が先行しない限り、残り15秒未満では使用されない。残り時間警告後の試合運営に関する指示として正しい。
152,団体戦において、競技者双方が負傷して試合続行が不可能となり、得点が同点の場合、主審は引分けを宣言する。,○,団体戦で両者負傷・同点の場合は引き分けが宣告される（勝敗つかず）。
153,試合時間が残り 15 秒未満で、負けている競技者が必死に同点にしようとして場外となった場合、少なくとも反則注意が科せられる。,○,規定10.4.16：戦いを避けるとは、効果的なカウンターを与えずに後退をし続ける、つかみ合い、組合い、又は競技場から出る等、時間を浪費する行為によって、相手に得点の機会を与えないことである。試合終了までの１５秒間（後しばらく）の戦いを避ける行為には、少なくとも反則注意を与え、先取がある場合は先取が取り消される。→攻撃意図の有無は規定されていない。
154,帯の下への技は、得点にはならない。,○,帯の下（股間等）への技は得点対象外。
155,肩甲骨への技は、得点となる。,○,規定8.4：得点部位は、骨盤の上から鎖骨までが中段、肩を除く鎖骨より上の部位が上段である。規定9.4.1 2)：下記の行為は禁止。腕、脚、股間部、関節、又は足の甲への攻撃
156,赤が誤って青の臀部を蹴り、青が試合続行不可能となった場合、青に棄権が与えられる。,×,故意でなくても臀部への蹴りで相手が続行不能なら加害側に反則。棄権は誤。
157,持久力不足で明らかに息切れしている場合、主審は回復の時間を与えるため試合を中断する。,○,息切れ等の場合、主審が安全のため一時中断し回復を待つことができる。
158,８ポイントリードの競技者が勝者となる。,○,8ポイントリード時点で勝利（コールドウィン）。
159,時間終了時点で、最も多くのポイントを獲得した競技者が勝者となる。,○,時間終了時点でポイント多い競技者が勝者。
160,分かれてのコールと同時の技は、正しい技であっても罰則が科せられる。,×,規定10.1.6：正確な技であっても、「分かれて」の発生と同時の場合は得点にならないが、罰則は科せられない。コントロールされていない技は、通常通りウォーニング、又はペナルティの対象となる。
161,公式ウォーニングには 2 段階ある。,×,公式ウォーニングは3段階（注意・反則注意・反則）であり2段階ではない。
162,注意は、軽微な違反に対し、最大 3 回まで科すことができる。,○,規定10.2.1：公式ウォーニングは、下記の２種類。注意：対戦相手の勝利の可能性を減少させない小さな違反に対して、最大３回まで科すことができる。反則注意：対戦相手の勝利の可能性を減少させるような、より深刻な違反に対して、又は既に３回注意が科せられている競技者の更なる違反に対して科せられる。
163,注意がまだ３回科せられていない場合、反則注意を科すことはできない。,×,注意3回前でも反則注意は科せられる。
164,無防備のウォーニング又はペナルティは、競技者が自己の過失により技があたった場合、又は負傷した場合のみ与えられる。,○,無防備ウォーニング／ペナルティは、自己過失による被打や負傷時のみ与えられる。
165,自己の過失により技が当たり、その影響を誇張した競技者には、無防備又は誇張のウォーニング又はペナルティを科すべきである。が、その両方が科せられることはない。,○,無防備と誇張の両方は併科されない。一方のみ適用。
166,競技者が良い中段蹴りをし、相手がその足を捕らえた場合、得点とはならない。,×,相手が蹴りを捕らえても、蹴りが有効に決まれば得点対象となる。
167,競技者が 6 つの採点基準を全て満たす上段蹴りをし、相手が蹴りを阻止するために手を上げ、その手が自分の顔に軽く当たった場合、蹴りは効果的に阻止されなかったため、主審は１本を与えることができる。,○,阻止の手が自分の顔に軽く当たるなど、実質防御失敗なら上段蹴りは得点対象。
168,男子チームは、2 名で出場することができる。,×,男子チームは最低3名（5名制構成）で2名では出場不可。
169,WKF 公認広告は、空手着の左袖に表示する。,○,規定2.2.1の図：WKF advertising spaceは左袖、N.F.（国内連盟） advertising spaceは右袖
170,国連盟が空手着に広告を貼ることは禁止される。,×,国連旗の広告掲示は禁止ではなく、規定範囲内で許可される。
171,棄権を受けた組手競技者は、そのトーナメントに再出場することはできない。,○,棄権した選手はそのトーナメントに再出場できない。
172,代表戦は、団体戦にのみ行われる。,○,代表戦は団体戦のみに存在。
173,主審が一方の競技者に得点を与え、他方に無防備を与えた場合、監査は笛を吹かなければならない。,×,無防備と得点の両方を主審が同時に与えた場合でも、監査が笛を吹くとは限らない。
174,重大な行為、規律違反、悪質な行為は、反則注意に値する。,×,重大・悪質行為は反則注意ではなく反則または失格が該当。
175,国際大会では、主審は競技者と同じ国籍であってはならないが、両コーチの同意があれば、副審の 1 人は同国籍であってもよい。,○,国際大会で主審は同国籍不可、副審は双方コーチの同意で同国籍1名可。
176,マッチスーパーバイザー（監査）は、主審及び副審とともに整列する。,○,監査（マッチスーパーバイザー）は主審・副審とともに整列。
177,コーチは安全域の外で、オフィシャルテーブルに向かってそれぞれの側に着席する。,○,コーチは安全域外、オフィシャルテーブル側に着席。
178,主審が一方の競技者に得点を与え、他方に誇張を与えても、監査は干渉する必要はない。,○,誇張と得点が同時でも監査は干渉しない（主審判断を尊重）。
179,団体戦において、審判団のメンバー（全員が必要な資格を有している場合）は、試合毎にローテーションする。,○,団体戦の審判団は各試合ごとにローテーションするのが原則。
180,団体戦において、メダル獲得戦のみ、審判団のメンバーが試合ごとにローテーションする。,×,メダル戦のみローテーションするという限定は誤。全試合で行う。
181,主審は、安全域を含むタタミ全体を動き回ることができる。,○,主審は安全域を含め自由に移動可能。
182,女子の競技者は、チェストプロテクターを着用しなければならない。,×,規定2.2.7 c)：以下の安全具の着用は必須。全空連認定ボディプロテクター（男性用、女性用）
183,女子の競技者は、ボディプロテクターがあればチェストプロテクターは必要ない。,○,規定2.2.7 c)：以下の安全具の着用は必須。全空連認定ボディプロテクター（男性用、女性用）
184,赤と青の帯は、個人の刺繍やマークがないものでなければならない。,○,帯は無刺繍・無マークが原則。
185,失格の可能性がある場合、主審は判定を下す前に、1 名以上の副審を呼び、簡単な相談（副審集合）をすることができる。,○,失格判断時に主審は副審を呼び簡単な相談可（副審集合）。
186,競技者は、個人名の刺繍のない白い空手着を着用しなければならない。,○,空手着は白・無刺繍・個人名なしが原則。
187,メダル獲得戦に限り、空手着に個人名の刺繍を入れることができる。,×,メダル戦でも個人名刺繍は不可（国旗や認定ロゴ以外禁止）。
188,接触が強すぎたと主審が判断した場合でも、競技者の勝利の可能性を減少させなければ、注意が与えられる。,○,接触が強すぎても勝敗に影響しなければ注意レベルで済むことがある。
189,負傷の原因となる技は、負傷した競技者の過失によるものでない限り、ウォーニング又はペナルティの対象となる。,○,負傷原因が相手のコントロール不足ならウォーニングまたはペナルティ対象。
190,接触に対する明らかな過剰反応は、注意が科せられる。,○,明らかな過剰反応（exaggeration）は注意対象。
191,主審が試合を止める前に、副審が得点やウォーニングを示すことはできない。,×,副審は主審の「止め」前でも得点・ウォーニング合図可（表示の権限あり）。
192,明らかな誇張は、反則となる。,×,規定10.4.5：負傷の装い：負傷を装った場合、それがどんなに軽いものであっても、最低限注意のウォーニングが科せられる。また、明らかに装った場合は、反則注意となる。よろめく、床に倒れる、立ち上がってまた倒れる等の、より深刻な装いには、直接失格が科せられる。副審が得点として判定した技に対して、負傷を装った場合は、少なくとも反則注意が科せられる。→明らかな誇張（負傷の装い）は、反則注意。
193,負傷を装った場合、軽微であっても、最小限のウォーニングである注意のみが科せられる。,×,誇張は軽微でも注意で済むとは限らず、反則注意または反則もあり得る。
194,よろめいたり、 床に倒れたり、立ち上がってはまた倒れる等の明らかな装いには、直接失格が科せられる。,○,規定10.4.5：負傷の装い：負傷を装った場合、それがどんなに軽いものであっても、最低限注意のウォーニングが科せられる。また、明らかに装った場合は、反則注意となる。よろめく、床に倒れる、立ち上がってまた倒れる等の、より深刻な装いには、直接失格が科せられる。副審が得点として判定した技に対して、負傷を装った場合は、少なくとも反則注意が科せられる。→より深刻な装いには、直接失格。
195,副審によりポイントとして判定された技による負傷を装う行為は、少なくとも反則注意が科せられる。,○,得点技に対する誇張演技は反則注意対象。
196,止めの前に連続技のうち１つ以上の技が得点となった場合、副審は高い方の技を表示しなければならない。,○,連続技で複数得点が発生した場合、高得点技を採用。
197,団体戦において、代表戦で無得点の場合、又は同点で先取がない場合は、判定により勝敗を決める。,○,団体戦代表戦が同点・先取なし→判定決着。
198,場外は相手に起因しない状況で競技者が競技場から出た時に発生する。,○,場外は相手に起因しない場合のみ科される。
199,後しばらくの時点で、逃げ回ったり、戦いを避けたり、又は時間を浪費した場合、最小限のウォーニングは、反則注意である。,○,残り15秒で逃げる・時間稼ぎは少なくとも反則注意（先取喪失もあり）。
200,投げの支点は、相手の腰の高さより上であってはならない。また、相手が安全に着地できるように相手を掴んでいなければならない。,○,投げの支点は腰より下、安全な着地保持が義務（安全投げ規定）。
201,落下の衝撃を和らげるため、相手の空手着を掴み続けることは許されない。,×,規定10.4.12：倒れるのを防ぐために掴むこと：転倒を避けるために、片手で相手の空手着を掴み続けることは許される。
202,時間終了後の技に対して主審が得点を与えた場合、監査は干渉する必要はない。,×,規定8.12 a)：次の場合、技は無効となる。時間終了合図又は主審の「ヤメ」の宣告後に出された技。
203,有効は、1ポイントに値する。,○,規定8.6：得点 有効（１ポイント）、技あり（２ポイント）、１本（３ポイント）
204,技ありは、2ポイントに値する。,○,規定8.6：得点 有効（１ポイント）、技あり（２ポイント）、１本（３ポイント）
205,１本は、3ポイントに値する。,○,規定8.6：得点 有効（１ポイント）、技あり（２ポイント）、１本（３ポイント）
206,各試合前に競技者が認定の安全具を着用しているかどうかを確認するのは、監査の義務である。,○,規定2.2.11：監査（マッチスーパーバイザー）は、各試合前に、競技者が認定された安全具と規定の空手着を着用しているかどうかを確認する義務がある。
207,各試合前に競技者が認定の安全具を着用しているかどうかを確認するのは、タタミマネージャーの義務である。,×,規定2.2.11：監査（マッチスーパーバイザー）は、各試合前に、競技者が認定された安全具と規定の空手着を着用しているかどうかを確認する義務がある。
208,コーチはIDカードを、競技者またはチームのIDカードとともに、公式テーブルに提示しなければならない。,×,規定2.3.1：コーチは大会中常に所属団体の公式トラックスーツを着用し、公式ＩＤを提示しなければならない。但し、メダル獲得に関わる全空連公式試合では、男性コーチは、ダークスーツ、シャツとネクタイを着用し、女性コーチは、ワンピース、パンツスーツ、又はダークカラーのジャケットとスカートの組み合わせのいずれかを選択することができる。→ＩＤを公式テーブルに提示しなければならない規定はない。
209,技ありは、中段蹴りに対して与えられる。,○,規定8.6：得点 技あり（２ポイント）中段への蹴り
210,立っている、又は足と胴体以外の体の一部がマットについている状態で、競技者の７つの攻撃部位のいずれかに出された突き又は打ちには、有効が与えられる。,×,規定8.6：得点 １本（３ポイント）上段への蹴り技又は足の裏以外の部位がマットに接している相手に対する突き、打ち、蹴り技→相手の足の裏以外の部位がマットに付いている状態への攻撃は１本
211,1本は上段蹴りと、投げられたり、自ら倒れたり、足以外の体の一部がマットについている状態の相手への得点技に与えられる。,○,規定8.6：得点 １本（３ポイント）上段への蹴り技又は足の裏以外の部位がマットに接している相手に対する突き、打ち、蹴り技
212,個人戦は、引き分けとすることはできない。,○,規定12.2.3：個人戦に引き分けはない。団体戦、総当たり戦の場合、同点又は無得点で終了し、双方に選手がない場合、主審は引き分けを宣告する。
213,不活動は、どの競技者にもいつでも与えることができる。,×,規定10.4.15：不活動とは、競技者双方が技を試みない場合、又はポイントをリードされている、あるいは相手の先取でリードされている一方の競技者が技を試みない場合をいう。 ・不活動は、得点又は先取でリードしている競技者には科せられない。 ・試合の最初の１５秒間は不活動を科してはならない。 →リードしている競技者には不活動は科せられない。
214,不活動は、試合の最初の15秒間は与えられない。,○,規定10.4.15：不活動とは、競技者双方が技を試みない場合、又はポイントをリードされている、あるいは相手の先取でリードされている一方の競技者が技を試みない場合をいう。・不活動は、得点又は先取でリードしている競技者には科せられない。・試合の最初の１５秒間は不活動を科してはならない。
215,頭部、膝、又は肘を使った模擬攻撃は違反である。,○,規定9.1.1 15)：下記の行為は禁止。頭部、膝、肘で攻撃するふりをした場合、又は実際の攻撃
216,試合終了15秒前（後しばらく）に戦いを避けた場合、少なくとも反則注意となり、先取を失うことになる。,○,規定10.4.16：戦いを避けるとは、効果的なカウンターを与えずに後退をし続ける、つかみ合い、組合い、又は競技場から出る等、時間を浪費する行為によって、相手に得点の機会を与えないことである。試合終了までの１５秒間（後しばらく）の戦いを避ける行為には、少なくとも反則注意を与え、先取がある場合は先取が取り消される。
217,代表団のヘッドコーチは、審判団の判定について抗議することができる。,×,規定13.1.1 審判団に対して、判定に関する抗議はできない。規定13.1.2 審判団の手順が規定に反すると思われる場合、競技者のコーチ又は代表者のみ抗議することができる。→判定には抗議できない。手順が規定違反と思われる場合は抗議できる。
218,組手試合では、マットの中心から1mの距離で2枚のマットを反転させ、赤い面を上にし、競技者の境界を形成する。,○,規定1.6：マット中央より１メートルの位置にある２枚のマットを赤（又は他の色）に裏返し、競技者間の境界線を設ける。試合開始時又は再開時、競技者はマット中央に互いに向き合って立つ。
219,上着の紐は結ばなければならない。,○,規定2.2.1 i)：紐のない上着は使用できない。上着を固定する紐は、試合開始時に結ばなければならない。
220,試合開始時は、紐のない上着を着用することができる。,×,規定2.2.1 i)：紐のない上着は使用できない。上着を固定する紐は、試合開始時に結ばなければならない。
221,個人戦では、抽選後に出場者を交代することができる。,,
222,メダル獲得戦では、男性コーチはダークスーツ、ワイシャツ、ネクタイの着用が義務付けられる。,×,規定2.3.1：コーチは大会中常に所属団体の公式トラックスーツを着用し、公式ＩＤを提示しなければならない。但し、メダル獲得に関わる全空連公式試合では、男性コーチは、ダークスーツ、シャツとネクタイを着用し、女性コーチは、ワンピース、パンツスーツ、又はダークカラーのジャケットとスカートの組み合わせのいずれかを選択することができる。→ダークスーツを選択することができる、となっているので、メダルマッチであってもトラックスーツでも良い（ダークスーツが義務ではない）。
223,メダル獲得戦では、女性コーチは、ダークカラーのワンピース、パンツスーツ、又はジャケットとスカートの組み合わせのいずれかを着用することができる。,○,規定2.3.1：コーチは大会中常に所属団体の公式トラックスーツを着用し、公式ＩＤを提示しなければならない。但し、メダル獲得に関わる全空連公式試合では、男性コーチは、ダークスーツ、シャツとネクタイを着用し、女性コーチは、ワンピース、パンツスーツ、又はダークカラーのジャケットとスカートの組み合わせのいずれかを選択することができる。→ダークスーツを選択することができる、となっているので、メダルマッチであってもトラックスーツでも良い（ダークスーツが義務ではない）。
224,メダル獲得戦において、女性コーチは宗教的なヘッドウェアを着用することはできない。,×,規定2.3.2：更に、以下の服装を追加することができる。a)プレーンな結婚指輪。b)全空連認定の宗教的なヘッドウェア
225,競技者が主審の指示に従わない場合、又は逆上した場合、自動的に反則が科せられる。,×,規定10.4.17：指示に従わないこと：主審の指示に従わない場合、又は冷静さを失った場合、失格が科せられる。このペナルティは、試合前、試合中、試合後に科せられることがある。→科せられるのは「失格」失格は大会の全種目に出られなくなる。
226,競技者は、試合と試合の間に、標準的な試合時間と同じだけの休憩時間を取ることはできない。,○,規定5.5：競技者は、試合と試合の間に、標準的な試合時間と同じだけの休息時間を取る権利がある。但し、安全具等の色を変更する場合は５分間に延長される。
227,不活動は、試合終了15秒未満で与えることはできない。,×,規定10.4.15：不活動とは、競技者双方が技を試みない場合、又はポイントをリードされている、あるいは相手の先取でリードされている一方の競技者が技を試みない場合をいう。・不活動は、得点又は先取でリードしている競技者には科せられない。・試合の最初の１５秒間は不活動を科してはならない。→試合終了１５秒未満で与えられないのは「頭皮」
228,試合中又は試合直後の跪くなど過度に喜びを表現する行為、政治的又は宗教的表現は禁止されており、理事会が定める抗議料に相当する罰金が科せられる場合がある。,,
229,総当たり戦において、競技者が棄権又は失格となった場合、それまでの試合結果は全て無効となる。,,
230,片手で相手の腕や空手着を掴むことは、即座に得点技やテイクダウンを試みる場合にのみ許される。,,
231,試合中、両手で相手を掴むことは決して許されない。,,
232,ビデオレビュー・スーパーバイザーを任命するのは、タタミマネージャーの義務である。,,
233,１本と技ありの数が同数の場合、勝敗は判定により決定される。,,
234,個人戦において、競技者が同点で双方に先取がない場合、最初の判定基準として１本の数が多い競技者を勝者とする。,,
235,２名以上の副審が同じ競技者に得点を合図し、その得点が異なる場合、高い方を適用する。,,
236,競技者が10秒ルールで競技を中止された場合、タタミマネージャーは公式記録席に通知しなければならない。,,
237,タイムキーパー(時計係)は、試合中に負傷し治療を必要とする競技者の3分カウントを開始する責任がある。,,
238,競技者が相手を掴み、すぐに技や投げを行わなかった場合、主審は止めを宣告する。,,
239,主審は、手合図と赤／青の勝ちの宣言で勝者を示す。引き分けの場合も同様に行う。,,
240,競技者が相手を掴んだ場合、主審は競技者が投げや技を行うために数秒の猶予を与える。,,
241,コーチ又はNF（国内連盟代表）は、タタミマネージャーに正式な抗議を要請する。,,
242,主審は、副審の意見がなくても試合を中止し、得点を与えることができる。,,
243,10 秒ルールの状況で主審がドクターを呼ばない場合、監査は笛を吹かなければならない。,,
244,勝利チームは、先取により勝利した試合を除き、勝ち試合数の最も多いチームである。,,
245,赤帯と青帯の長さは、太腿の4分の3以内の長さでなければならない。,,
246,コーチまたはNF（国連盟代表）が適切なタイミングで抗議文を提出しなかった場合、その抗議文は却下されることがある。,,
247,副審が技を得点と判断し、競技者が負傷を装った場合の正しいペナルティは、反則である。,,
248,抗議に関与したオフィシャルの情報は、タタミマネージャーが記入する。,,
249,棄権とは、競技者がそのカテゴリーの出場資格を失うことを意味するが、他のカテゴ リーへの参加には影響しない。,,
250,競技者は、試合の合間に、標準的な試合時間と同じ時間の休息時間を取る権利がある。例外として、安全具の色を変える場合は、5分間に延長される。,,
251,いずれの試合においても、試合終了後、同点の場合、先取を有する競技者が勝者となる。,,
252,先取とは、一方の競技者が相手よりも最初に得点することを意味する。,,
253,双方の競技者が同時に得点した場合、先取は与えられず、その後で先取を獲得する可能性を保持する。,,
254,競技者が倒れたり、投げられたり、倒されたりして、すぐに立ち上がれない場合、主審はドクターを呼ぶと同時に1秒ごとに指で示しながら10カウントを開始する。,,
255,タイムキーパー（時計係）は、試合終了15秒前に、音声による合図を行い、主審は後しばらくを告げる。,,
256,後しばらくの後に主審が不活動に対しウォーニング又はペナルティを与えた場合、監査は黙っていなければならない。,,
257,個人戦では、引き分けを宣言することができる。,,
258,全ての競技システムにおいて、コーチは競技者に対して1枚のビデオレビューカードを許可される。,,
259,4 人1組の総当たり戦では、コーチは競技者１名につき1枚のVRカードを許可される。,,
260,競技者は、コーチに対して、ビデオレビューを求めるようリクエストすることができる。,,
261,副審が得点の高い技に対して、低い得点を与えたとコーチが判断した場合、コーチはビデオレビューを要求することができる。,,
262,他の競技者より先に、又は同時に得点した場合のみ、ビデオレビュースーパーバイザーは、得点を与えることができる。,,
263,ビデオレビューのリクエストにより試合が停止された前の６秒間がビデオレビューの対象となる。,,
264,両コーチが同時にビデオレビューを要求した場合、ビデオレビュースーパーバイザーは、先に得点したとみなされた競技者にのみ得点を与えることができる。,,
265,ビデオレビューにおいて、得点技が同時に入っていた場合、双方の競技者に得点が与えられる。,,
266,ビデオレビュースーパーバイザーは、先取を除き、副審の判定を覆すことはできない。,,
267,競技規定に反する行為があった場合、タタミマネジャーは、監査が試合を中断し主審に指示することを監督する。,,
268,主審は、反則を指摘し、競技規定に基づき、ウォーニング及びペナルティを科す。,,
269,主審は判定により同点を解決する。,,
270,各試合前に、安全具が規定に従っているかを確認するのは、常に監査の責任である。,,
271,主審が時間終了のベルを聞き逃した場合、監査は笛を吹く。,,
272,副審２名制の場合、副審は、場外、過度の接触、カテゴリーによっては規定違反となるスキンタッチなどの合図を行い主審を補佐する。,,
273,副審２名制の場合、主審は自主的にウォーニング及びペナルティを適用する。,,
274,副審２名制の場合、副審２名又は副審１名と主審が、同じ競技者に異なるポイントを示した場合、高い方のポイントを与える。,,
275,副審２名制の場合、副審２名又は副審１名と主審が、同じ競技者に異なるウォーニングを示した場合、軽い方のウォーニングを科す。,,
